ID,auc,auc_0.1,auc_swapped,auc_swapped_0.1,count
18,1.0,1.0,1.0,1.0,11.0
33,1.0,1.0,1.0,1.0,11.0
49,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
55,1.0,1.0,1.0,1.0,11.0
166,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
210,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
339,1.0,1.0,1.0,1.0,11.0
344,1.0,1.0,1.0,1.0,11.0
1547,1.0,1.0,1.0,1.0,11.0
1552,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
1592,1.0,1.0,1.0,1.0,11.0
1690,1.0,1.0,1.0,1.0,11.0
1704,1.0,1.0,1.0,1.0,11.0
1739,1.0,1.0,1.0,1.0,11.0
1809,1.0,1.0,1.0,1.0,11.0
2699,1.0,1.0,1.0,1.0,11.0
2852,1.0,1.0,1.0,1.0,11.0
2869,1.0,1.0,1.0,1.0,11.0
2897,0.30000000000000004,0.47368421052631576,0.30000000000000004,0.47368421052631576,11.0
2958,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
3008,1.0,1.0,1.0,1.0,11.0
3041,1.0,1.0,1.0,1.0,11.0
4174,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
4236,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4268,1.0,1.0,1.0,1.0,11.0
4342,1.0,1.0,1.0,1.0,11.0
4367,1.0,1.0,1.0,1.0,11.0
4439,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
4505,1.0,1.0,1.0,1.0,11.0
4512,1.0,1.0,1.0,1.0,11.0
4535,1.0,1.0,1.0,1.0,11.0
5737,1.0,1.0,1.0,1.0,11.0
5740,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
5755,1.0,1.0,1.0,1.0,11.0
5776,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
5876,1.0,1.0,1.0,1.0,11.0
5989,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
6001,1.0,1.0,1.0,1.0,11.0
total,0.5490304709141275,0.5542353112698644,0.5490304709141275,0.5542353112698644,418.0
